,car_name,price,instalment,mileage,depreciation,purchase_date,remaining,remaining_years,remaining_months,source
0,Honda Odyssey 2.4 EXV-S (A),67800,1274,101600,18494,2015/07/21,2 yrs 10 mths ,2,10,Carbuyer
1,Mercedes-Benz GLC-Class GLC250 4-Matic Sunroof,129800,1738,62000,25425,2016/10/25,4 yrs 1 mths ,4,1,Carbuyer
2,Honda Fit 1.3 G F-Package (A) (Past Model),52500,510,175000,8975,2008/10/07,5 yrs 10 mths ,5,10,Carbuyer
3,Kia Stinger 2.0A sunroof,133800,1284,86000,19200,2018/08/30,5 yrs 11 mths ,5,11,Carbuyer
4,Mazda 3 Sedan 1.6 Deluxe (A),49800,844,106000,13373,2015/11/30,3 yrs 2 mths ,3,2,Carbuyer
5,Hyundai i30 1.4 T-GDi DCT Turbo (A),103800,860,14352,12695,2020/02/27,7 yrs 5 mths ,7,5,Carbuyer
6,BMW 1 Series Hatchback 116d (A),62800,948,80500,15975,2016/04/15,3 yrs 7 mths ,3,7,Carbuyer
7,Hyundai Elantra 1.6 GLS Elite (A),74000,758,62000,12191,2018/10/03,5 yrs 6 mths ,5,6,Carbuyer
8,Honda Shuttle 1.5 G LED Honda Sensing (A),90000,770,36000,12532,2019/06/19,6 yrs 9 mths ,6,9,Carbuyer
9,Skoda Rapid Spaceback 1.4 TSI Ambition (A),83500,764,70000,11839,2018/12/29,6 yrs 3 mths ,6,3,Carbuyer
10,Subaru Forester 2.0i-L (A),53000,969,97000,15453,2015/08/28,2 yrs 11 mths ,2,11,Carbuyer
11,"Peugeot 308 SW 1.2 PureTech EAT6 Allure 16""",78800,796,50000,12240,2018/04/17,5 yrs 7 mths ,5,7,Carbuyer
12,Mazda 5 2.0 Deluxe (A),38888,909,82000,14201,2014/12/26,2 yrs 3 mths ,2,3,Carbuyer
13,Mazda CX-5 2.0 (A),79000,1058,66000,15267,2016/10/28,4 yrs 1 mths ,4,1,Carbuyer
14,Porsche Cayman 2.9 PDK (A),145000,1427,100000,24965,2008/06/25,5 yrs 9 mths ,5,9,Carbuyer
17,Mercedes-Benz S-Class S400L (A),184800,2622,107375,28687,2016/07/21,3 yrs 10 mths ,3,10,Carbuyer
18,Nissan Qashqai 1.2 DIG-T Premium (A) OPC,90800,753,12000,10947,2020/08/01,7 yrs 4 mths ,7,4,Carbuyer
19,Honda Shuttle 1.5 G Keyless/Navi Honda Sensing (A) OPC,67800,685,28000,11275,2018/04/17,5 yrs 7 mths ,5,7,Carbuyer
20,HYUNDAI I30 (FD) 1.6 DOHC AUTO,15500,535,140000,10249,2009/10/03,1 yrs 6 mths ,1,6,Carbuyer
21,Toyota Estima 2.4 Aeras Premium 7-Seater Moonroof (A),67800,1434,98000,19641,2015/02/04,2 yrs 6 mths ,2,6,Carbuyer
22,Porsche Macan PDK 2.0 (A),128800,3010,58000,39582,2014/09/12,2 yrs 3 mths ,2,3,Carbuyer
24,HONDA CIVIC 1.6 VTI CVT,109800,910,59730,11943,2021/01/20,8 yrs 4 mths ,8,4,Carbuyer
25,SUBARU FORESTER 2.0XT CVT AWD SR,77800,1042,73555,16366,2016/10/17,4 yrs 1 mths ,4,1,Carbuyer
26,NISSAN TEANA 2.0 XL CVT,68800,921,70000,13537,2016/10/14,4 yrs 1 mths ,4,1,Carbuyer
27,Mazda 2 Hatchback 1.5 Standard (A),79800,705,39481,11110,2019/03/13,6 yrs 6 mths ,6,6,Carbuyer
28,Toyota Corolla Altis 1.6 Elegance (A),43800,926,120000,4380,2015/03/25,2 yrs 6 mths ,2,6,Carbuyer
29,B.M.W. 420I COUPE LED SR NAV,130800,1415,35500,20656,2017/11/29,5 yrs 2 mths ,5,2,Carbuyer
30,Nissan Kicks e-POWER Hybrid Premium (A),126800,1051,10149,13024,2021/12/29,9 yrs 3 mths ,9,3,Carbuyer
31,SKODA KAROQ 1.5 TSI STYLE (A),111800,1022,59800,15427,2018/12/28,6 yrs 3 mths ,6,3,Carbuyer
34,VOLKSWAGEN PASSAT B8 1.8 TFSI AT 3G24JZ,83800,1102,45600,16627,2016/09/11,4 yrs 2 mths ,4,2,Carbuyer
35,MERCEDES BENZ E250 AUTO,158000,1710,62000,23745,2017/11/28,5 yrs 2 mths ,5,2,Carbuyer
36,Toyota Corolla Altis 1.6 Elegance (A),76800,843,62000,12881,2017/09/10,5 yrs 1 mths ,5,1,Carbuyer
37,Suzuki Vitara 1.4 (A),70000,817,56000,13388,2017/06/19,4 yrs 9 mths ,4,9,Carbuyer
38,BMW 2 Series Gran Tourer 218i Luxury (A),60000,1097,50000,16217,2015/08/28,2 yrs 11 mths ,2,11,Carbuyer
39,Audi Q2 1.4 TFSI S tronic (A),112800,1056,74873,15714,2018/10/31,6 yrs 1 mths ,6,1,Carbuyer
41,AUDI A5 SB 2.0 TFSI QU S TRONIC SPORT (PSR),173000,1872,82000,26017,2017/11/30,5 yrs 2 mths ,5,2,Carbuyer
42,MITSUBISHI OUTLANDER 2.4 CVT AWD S/R FACELIFT,58800,950,120000,14311,2016/01/19,3 yrs 4 mths ,3,4,Carbuyer
43,Opel Crossland X 1.5 Turbo Diesel (A),111800,927,46,11680,2021/04/13,8 yrs 7 mths ,8,7,Carbuyer
44,HYUNDAI FD I30 CW 1.6 A,23800,557,145241,10454,2009/12/14,2 yrs 3 mths ,2,3,Carbuyer
45,TOYOTA WISH 1.8 AUTO,60800,563,146828,9824,2008/11/11,6 yrs 2 mths ,6,2,Carbuyer
46,HYUNDAI HD AVANTE 1.6 A,19800,540,167801,10237,2009/11/08,1 yrs 11 mths ,1,11,Carbuyer
47,HYUNDAI ELANTRA 1.6 AT ABS D/AB 2WD 4DR,46800,615,138890,11035,2012/06/13,4 yrs 2 mths ,4,2,Carbuyer
48,KIA CERATO K3 1.6A SUNROOF,73800,746,53136,11746,2018/04/24,5 yrs 7 mths ,5,7,Carbuyer
49,B.M.W. 523I 2.5 AT D/AB 2WD 4DR GAS/D SR,88800,736,130845,10995,2011/01/21,8 yrs 0 mths ,8,0,Carbuyer
52,VOLKSWAGEN JETTA GP 1.4 TSI 90 A/T CL 1633G5,48800,807,83000,11861,2015/12/18,3 yrs 3 mths ,3,3,Carbuyer
53,VOLKSWAGEN GOLF 1.4 TSI AT 5G13HZ HID,58800,888,91930,14432,2016/04/14,3 yrs 7 mths ,3,7,Carbuyer
54,VOLKSWAGEN GOLF A7 1.2 TSI AT 5G12DZ,39800,748,201000,12489,2015/07/16,2 yrs 10 mths ,2,10,Carbuyer
55,TOYOTA WISH 2.0 AUTO,79800,661,176907,9982,2010/09/21,7 yrs 11 mths ,7,11,Carbuyer
56,TOYOTA WISH 1.8X CVT ABS D/AIRBAG 2WD 5DR,56800,917,78306,14179,2016/01/25,3 yrs 4 mths ,3,4,Carbuyer
57,TOYOTA VIOS 1.5 E (AUTO),88800,736,33457,10861,2020/03/19,7 yrs 6 mths ,7,6,Carbuyer
58,HYUNDAI ACCENT (RB) 1.4 CVT,76800,643,47000,10333,2019/03/09,6 yrs 11 mths ,6,11,Carbuyer
59,TOYOTA SIENTA 1.5G A,65800,850,94000,13956,2016/12/14,4 yrs 3 mths ,4,3,Carbuyer
60,TOYOTA RAV4 2.4X A,63800,628,180300,10953,2008/07/17,5 yrs 9 mths ,5,9,Carbuyer
61,TOYOTA PICNIC AUTO W/O ROOF RACK,72800,616,128216,10536,2009/03/08,6 yrs 10 mths ,6,10,Carbuyer
62,TOYOTA ISIS 1.8LX A,63800,591,180281,10241,2008/11/26,6 yrs 2 mths ,6,2,Carbuyer
63,Toyota Vios 1.5A E,21800,620,133000,11858,2009/07/07,1 yrs 10 mths ,1,10,Carbuyer
64,Toyota Corolla Altis 1.6 LX (A),62800,521,113000,8341,2010/03/15,7 yrs 6 mths ,7,6,Carbuyer
65,Lexus ES 250 2.5 Executive (A),110700,1234,54185,17720,2017/09/21,5 yrs 0 mths ,5,0,Carbuyer
66,Honda Stream 1.8 RSZ Sunroof (A),64800,638,110000,11146,2008/06/27,5 yrs 9 mths ,5,9,Carbuyer
67,Land Rover Discovery Sport 2.0 HSE 7-Seater (A),122800,1505,80000,20220,2017/03/23,4 yrs 6 mths ,4,6,Carbuyer
68,Kia Cerato 1.6 Premium (A),13800,653,145000,11936,2008/11/18,1 yrs 1 mths ,1,1,Carbuyer
69,Mercedes-Benz A-Class A180 Progressive (A),131800,1152,35000,17262,2019/04/23,6 yrs 7 mths ,6,7,Carbuyer
70,Mercedes-Benz A-Class A180 (A),58800,1076,94000,16646,2015/01/09,2 yrs 11 mths ,2,11,Carbuyer
72,B.M.W. 428I COUPE A/T D/AB SR HID NAV HUD,86800,2364,81000,28930,2014/08/27,1 yrs 11 mths ,1,11,Carbuyer
73,Nissan Qashqai 1.2 DIG-T Premium (A),47800,852,104000,13398,2015/09/30,3 yrs 0 mths ,3,0,Carbuyer
74,Toyota Vios 1.5A E,59800,523,100000,8982,2009/07/24,6 yrs 7 mths ,6,7,Carbuyer
75,Honda Civic 1.8 (A),58800,586,130000,10333,2008/05/13,5 yrs 8 mths ,5,8,Carbuyer
76,CHEVROLET CRUZE NB 1.4D TURBO 6AT,62800,722,58000,11363,2017/07/24,4 yrs 10 mths ,4,10,Carbuyer
77,HONDA SHUTTLE HYBRID 1.5 AUTO,83800,825,86000,14021,2018/06/23,5 yrs 9 mths ,5,9,Carbuyer
78,Toyota Rush 1.5 X (A),61800,579,136000,10106,2008/10/15,6 yrs 1 mths ,6,1,Carbuyer
80,"MERCEDES BENZ ATEGO 1524L 4X2 5360 (AUTO, ABS)",128800,1067,60084,15762,2020/09/17,8 yrs 0 mths ,8,0,Carbuyer
82,NISSAN NV350 PANEL VAN 2.5 5AT 5DR EURO V,36800,581,84376,10486,2016/02/19,3 yrs 5 mths ,3,5,Carbuyer
84,Mitsubishi Lancer EX 1.6 (A),56800,761,73800,12002,2016/10/26,4 yrs 1 mths ,4,1,Carbuyer
87,TOYOTA TOYOTA HIACE VAN TURBO 5 DR MANUAL,54800,630,85000,11058,2017/07/27,4 yrs 10 mths ,4,10,Carbuyer
88,NISSAN NV350 PANEL VAN 2.5 5MT 5DR EURO V,43800,504,88317,8862,2017/07/20,4 yrs 10 mths ,4,10,Carbuyer
90,TOYOTA HIACE 3.0 DX M,34800,714,90228,13044,2015/04/15,2 yrs 7 mths ,2,7,Carbuyer
91,NISSAN NV200 1.5 MT ABS AIRBAG 2WD 6DR E5 W/RC,42800,563,83314,10118,2016/10/11,4 yrs 2 mths ,4,2,Carbuyer
93,NISSAN NV200 DX 1.6 AUTO,64800,537,21202,7449,2021/04/22,8 yrs 7 mths ,8,7,Carbuyer
96,NISSAN NV350 PANEL VAN 2.5 5MT 5DR,54800,513,66000,8862,2018/10/16,6 yrs 1 mths ,6,1,Carbuyer
97,TOYOTA DYNA 150 5MT,66800,756,61211,13310,2017/08/24,4 yrs 11 mths ,4,11,Carbuyer
98,HYUNDAI H1 STAREX 2.5 CRDI MT ABS AIRBAG 2WD,28800,500,114000,9109,2015/12/10,3 yrs 1 mths ,3,1,Carbuyer
99,Toyota Corolla Altis 1.6 Elegance (A),26800,627,138700,5360,2010/05/01,2 yrs 3 mths ,2,3,Carbuyer
100,MAZDA CX-30 2.0 AT LUXURY,134800,1117,36000,13480,2021/01/21,8 yrs 4 mths ,8,4,Carbuyer
101,Nissan Qashqai 1.2 DIG-T Premium (A),49000,851,115000,4900,2015/10/27,3 yrs 1 mths ,3,1,Carbuyer
102,MERCEDES BENZ E250 CGI A,111800,927,195000,13842,2010/11/26,8 yrs 0 mths ,8,0,Carbuyer
103,Mercedes-Benz GLC-Class Coupe Mild Hybrid GLC300 AMG Line 4MATIC (A),256800,2128,20000,27074,2020/11/18,8 yrs 2 mths ,8,2,Carbuyer
104,BMW M M135i 3.0 5-door (A),65800,2398,136000,27652,2014/02/28,1 yrs 5 mths ,1,5,Carbuyer
105,Polestar 2 Electric Long Range Single Motor 78 kWh (A),218800,1813,3500,22531,2022/01/26,9 yrs 4 mths ,9,4,Carbuyer
