model,price,instalment,mileage,num_of_owners,depreciation,reg_date,coe_left,coe_left_yrs,coe_left_mths,coe_months,source
BMW ALPINA B3 Bi-Turbo,183888,2380,84513,2,29600,11 Nov 16 ,4yrs 2mths left,4,2,50,Carro
Audi A6 1.8A TFSI Ultra,113888,1477,77285,1,18490,28 Aug 17 ,4yrs 11mths left,4,11,59,Carro
Audi A4 1.8A TFSI MU (COE till 02/2031),88888,719,100173,2,10470,28 Feb 11 ,8yrs 5mths left,8,5,101,Carro
Audi A3 Sedan 1.0A TFSI S-tronic,114888,1084,36099,1,14660,24 Sep 19 ,7yrs left,7,0,84,Carro
Audi A3 Sportback 1.0A TFSI S-tronic,91888,1106,69019,1,14740,12 Jan 18 ,5yrs 4mths left,5,4,64,Carro
Audi A4 2.0A TFSI S-tronic,141888,1172,46751,1,17790,19 Jul 19 ,6yrs 10mths left,6,10,82,Carro
Audi Q5 2.0A TFSI Quattro,112888,1771,64401,1,22560,16 Sep 16 ,4yrs left,4,0,48,Carro
Audi A7 Sportback 2.0A TFSI S-tronic,140888,1824,52145,1,24490,29 Nov 16 ,4yrs 2mths left,4,2,50,Carro
Audi A4 1.4A TFSI S-tronic,97888,1354,69486,3,18170,28 Apr 17 ,4yrs 7mths left,4,7,55,Carro
Audi A4 1.4A TFSI S-tronic,106888,1344,60629,1,18250,17 Oct 17 ,5yrs 1mths left,5,1,61,Carro
Audi A3 1.4A TFSI CoD S-tronic,115088,1201,57453,1,16250,27 Dec 18 ,6yrs 3mths left,6,3,75,Carro
Audi A3 Sedan 1.4A TFSI Ambiente,63888,1279,62911,3,16990,30 Oct 15 ,3yrs 1mths left,3,1,37,Carro
Audi A4 2.0A TFSI S-tronic,127888,1420,42000,1,18540,11 Jul 18 ,5yrs 10mths left,5,10,70,Carro
Audi A3 Sportback 1.0A TFSI S-tronic,92888,1103,109322,1,14740,06 Feb 18 ,5yrs 5mths left,5,5,65,Carro
Audi A3 Sedan 1.4A TFSI S-tronic Attraction,72888,1143,107521,3,15820,28 Sep 16 ,4yrs left,4,0,48,Carro
Audi S5 Coupe 3.0A TFSI,260888,2279,53998,3,33240,28 Feb 19 ,6yrs 5mths left,6,5,77,Carro
Audi Q3 1.4A TFSI S-Tronic,67688,1555,150030,2,20410,29 May 15 ,2yrs 8mths left,2,8,32,Carro
