source,model,brand,price,depreciation,registration_date,coe_remaining_mths,mileage
motorist.sg,Mercedes Benz G350 Premium Amg Line Diesel Auto,Mercedes,568800,55082,19/5/21,104,18000
motorist.sg,Toyota Dyna 3.0 Auto,Toyota,85800,11062,8/6/20,93,
motorist.sg,Toyota Dyna 150 5Mt,Toyota,78800,12131,5/3/19,77,
motorist.sg,Nissan Pickup 2.6 M,Nissan,23800,9222,6/4/05,30,
motorist.sg,Audi Ttc 2.0 Tfsi STronic,Audi,73800,12431,13/8/08,71,146000
motorist.sg,Isuzu Nhr85Aue4Aa,Isuzu,33500,10267,11/12/15,39,
motorist.sg,Fiat Doblo Cargo Sx Jtd 1.6Mj Panel,Fiat,20800,13461,24/3/14,18,131871
motorist.sg,Mercedes Benz E200 Sedan Exclusive,Mercedes,268800,25482,29/10/21,109,13000
motorist.sg,Peugeot 3008 Allure 1.6 EThp Eat6,Peugeot,107800,14706,29/11/18,74,45000
motorist.sg,Mercedes Benz Glc250 4Matic Coupe Auto,Mercedes,208800,29291,25/10/18,73,50000
motorist.sg,Opel Grandland X F12Xht At,Opel,112000,12075,11/6/21,105,21200
motorist.sg,Mercedes Benz E 350 Cabriolet,Mercedes,116800,15006,18/6/10,93,95000
motorist.sg,Toyota Hiace Van Turbo 5Dr Mt,Toyota,74500,10399,4/11/19,85,55000
motorist.sg,Toyota Prius C Cvt,Toyota,83800,9152,26/4/12,109,128300
motorist.sg,Lexus Es250 Executive A/T S/R,Lexus,133800,21559,24/11/17,62,27888
motorist.sg,Mercedes Benz S400L (R19 Led),Mercedes,184800,28724,21/7/16,46,107375
motorist.sg,Bmw 640I Gran Coupe M Sport Sr Led Nav Hud,Bmw,192800,31506,27/3/17,54,105000
motorist.sg,Audi A6 2.0 Tfsi Mu,Audi,51000,19803,27/3/14,18,136000
motorist.sg,Toyota Voxy Hybrid 7Seater 1.8V Cvt,Toyota,137800,18315,6/5/19,79,60000
motorist.sg,Volvo Xc60 T5,Volvo,52500,18294,23/7/14,22,89500
motorist.sg,Audi Q2 1.4 Tfsi Cod S Tronic,Audi,112800,15714,31/10/18,73,74873
motorist.sg,Opel Crossland X D15Dth,Opel,111800,11683,13/4/21,103,46
motorist.sg,Mazda Cx5 SkyactivG 2.5 Sp.6Eat 2Wd Led S/R,Mazda,75800,16239,30/5/16,44,57602
motorist.sg,Mercedes Benz E200 Sport MHybrid,Mercedes,245800,24647,23/7/21,106,3500
motorist.sg,Mini One 5Dr Led,Mini,96800,14948,3/8/18,70,55000
motorist.sg,Mercedes Benz S450L Sedan,Mercedes,518800,46515,19/1/22,112,2000
motorist.sg,Honda Civic 1.5 Turbo Vtis Cvt Sr,Honda,123800,16029,1/7/19,81,36000
motorist.sg,Mercedes Benz Glc250 Coupe Auto,Mercedes,195888,27291,5/9/18,71,65000
motorist.sg,Audi Q2 1.4 Tfsi Cod S Tronic,Audi,115000,16071,31/10/18,73,62835
motorist.sg,Peugeot Partner L2 1.6 At,Peugeot,39800,8175,20/7/17,58,
motorist.sg,Opel Combo L2H1 1.6 Cdti At 6Dr,Opel,37800,7984,1/6/17,56,
motorist.sg,Fiat Doblo Cargo Maxi 1.6 Mtj Amt Glaze,Fiat,34800,8945,28/7/16,46,
motorist.sg,Toyota Hiace Van Turbo 5 Dr Manual,Toyota,50800,12103,17/11/16,50,
motorist.sg,Kia K2500 6Mt,Kia,55800,8413,24/4/19,79,
motorist.sg,Nissan Nv200 1.5 Mt Abs Airbag 2Wd 6Dr E5 W/Rc,Nissan,48800,9326,30/11/17,62,
motorist.sg,Mercedes Benz C180 Avg (R17 Led),Mercedes,191800,26445,15/2/19,77,73369
motorist.sg,Ford Mustang 5.0Gt Auto,Ford,328000,49574,19/7/18,70,35000
motorist.sg,Bmw X3 Sdrive20I M Sport,Bmw,172800,23503,6/12/18,74,19000
motorist.sg,Mercedes Benz Gla180 Urban Edition Auto,Mercedes,158800,17315,28/1/21,100,13000
motorist.sg,Honda Civic 1.6L 5At,Honda,35000,12699,9/6/10,33,175000
motorist.sg,Nissan Nv200 Vanette Dx 1.6 Auto,Nissan,63800,7334,18/5/21,104,43000
motorist.sg,Chevrolet Cruze Nb 1.6D 6At,Chevrolet,64800,11696,17/8/17,59,90000
motorist.sg,Mercedes Benz G350 Premium Amg Line Diesel Auto,Mercedes,568800,55082,19/5/21,104,18000
motorist.sg,Toyota Dyna 3.0 Auto,Toyota,85800,11062,8/6/20,93,
motorist.sg,Toyota Dyna 150 5Mt,Toyota,78800,12131,5/3/19,77,
motorist.sg,Nissan Pickup 2.6 M,Nissan,23800,9222,6/4/05,30,
motorist.sg,Audi Ttc 2.0 Tfsi STronic,Audi,73800,12431,13/8/08,71,146000
motorist.sg,Isuzu Nhr85Aue4Aa,Isuzu,33500,10267,11/12/15,39,
motorist.sg,Fiat Doblo Cargo Sx Jtd 1.6Mj Panel,Fiat,20800,13461,24/3/14,18,131871
motorist.sg,Mercedes Benz E200 Sedan Exclusive,Mercedes,268800,25482,29/10/21,109,13000
motorist.sg,Peugeot 3008 Allure 1.6 EThp Eat6,Peugeot,107800,14706,29/11/18,74,45000
motorist.sg,Mercedes Benz Glc250 4Matic Coupe Auto,Mercedes,208800,29291,25/10/18,73,50000
motorist.sg,Opel Grandland X F12Xht At,Opel,112000,12075,11/6/21,105,21200
motorist.sg,Mercedes Benz E 350 Cabriolet,Mercedes,116800,15006,18/6/10,93,95000
motorist.sg,Toyota Hiace Van Turbo 5Dr Mt,Toyota,74500,10399,4/11/19,85,55000
motorist.sg,Toyota Prius C Cvt,Toyota,83800,9152,26/4/12,109,128300
motorist.sg,Lexus Es250 Executive A/T S/R,Lexus,133800,21559,24/11/17,62,27888
motorist.sg,Mercedes Benz S400L (R19 Led),Mercedes,184800,28724,21/7/16,46,107375
motorist.sg,Bmw 640I Gran Coupe M Sport Sr Led Nav Hud,Bmw,192800,31506,27/3/17,54,105000
motorist.sg,Audi A6 2.0 Tfsi Mu,Audi,51000,19803,27/3/14,18,136000
motorist.sg,Toyota Voxy Hybrid 7Seater 1.8V Cvt,Toyota,137800,18315,6/5/19,79,60000
motorist.sg,Volvo Xc60 T5,Volvo,52500,18294,23/7/14,22,89500
motorist.sg,Audi Q2 1.4 Tfsi Cod S Tronic,Audi,112800,15714,31/10/18,73,74873
motorist.sg,Opel Crossland X D15Dth,Opel,111800,11683,13/4/21,103,46
motorist.sg,Mazda Cx5 SkyactivG 2.5 Sp.6Eat 2Wd Led S/R,Mazda,75800,16239,30/5/16,44,57602
motorist.sg,Mercedes Benz E200 Sport MHybrid,Mercedes,245800,24647,23/7/21,106,3500
motorist.sg,Mini One 5Dr Led,Mini,96800,14948,3/8/18,70,55000
motorist.sg,Mercedes Benz S450L Sedan,Mercedes,518800,46515,19/1/22,112,2000
motorist.sg,Honda Civic 1.5 Turbo Vtis Cvt Sr,Honda,123800,16029,1/7/19,81,36000
motorist.sg,Mercedes Benz Glc250 Coupe Auto,Mercedes,195888,27291,5/9/18,71,65000
motorist.sg,Audi Q2 1.4 Tfsi Cod S Tronic,Audi,115000,16071,31/10/18,73,62835
motorist.sg,Peugeot Partner L2 1.6 At,Peugeot,39800,8175,20/7/17,58,
motorist.sg,Opel Combo L2H1 1.6 Cdti At 6Dr,Opel,37800,7984,1/6/17,56,
motorist.sg,Fiat Doblo Cargo Maxi 1.6 Mtj Amt Glaze,Fiat,34800,8945,28/7/16,46,
motorist.sg,Toyota Hiace Van Turbo 5 Dr Manual,Toyota,50800,12103,17/11/16,50,
motorist.sg,Kia K2500 6Mt,Kia,55800,8413,24/4/19,79,
motorist.sg,Nissan Nv200 1.5 Mt Abs Airbag 2Wd 6Dr E5 W/Rc,Nissan,48800,9326,30/11/17,62,
motorist.sg,Mercedes Benz C180 Avg (R17 Led),Mercedes,191800,26445,15/2/19,77,73369
motorist.sg,Ford Mustang 5.0Gt Auto,Ford,328000,49574,19/7/18,70,35000
motorist.sg,Bmw X3 Sdrive20I M Sport,Bmw,172800,23503,6/12/18,74,19000
motorist.sg,Mercedes Benz Gla180 Urban Edition Auto,Mercedes,158800,17315,28/1/21,100,13000
motorist.sg,Honda Civic 1.6L 5At,Honda,35000,12699,9/6/10,33,175000
motorist.sg,Nissan Nv200 Vanette Dx 1.6 Auto,Nissan,63800,7334,18/5/21,104,43000
motorist.sg,Chevrolet Cruze Nb 1.6D 6At,Chevrolet,64800,11696,17/8/17,59,90000
motorist.sg,Toyota Corolla Altis Elegance (Auto)(2Wd),Toyota,106800,12850,11/2/20,89,38000
motorist.sg,Subaru Forester 2.0IL Cvt Awd Sr,Subaru,60800,14881,31/3/16,42,66000
motorist.sg,Mercedes Benz Cla180 (R18 Bi),Mercedes,71800,20091,18/8/15,35,820000
motorist.sg,Jeep Wrangler Unlimited Rubicon,Jeep,397800,42775,4/6/21,104,4700
motorist.sg,Mazda 3Sp Lux,Mazda,16000,11967,8/1/09,16,140000
motorist.sg,Mercedes Benz Citan 109 Cdi Van ExtraLong  2 Seaters,Mercedes,30800,9527,30/11/15,38,
motorist.sg,Golden Dragon Xml6770J18 M,Golden,35800,9651,23/5/16,44,
motorist.sg,Toyota Prius Plus (Auto),Toyota,101800,14593,31/10/18,73,
motorist.sg,Toyota Hiace Gl Dark Prime 3.0 A,Toyota,54800,16079,2/2/16,40,
motorist.sg,Toyota Sienta Hybrid 7Seater 1.5X Cvt,Toyota,101800,12948,26/11/19,86,
motorist.sg,Mazda 3 4Door Sedan 1.5L Sp.6Eat,Mazda,54800,12872,31/5/16,44,
motorist.sg,Toyota Hiace Dx 2.8 Auto,Toyota,91800,10739,24/3/21,102,
motorist.sg,Toyota Camry 2.0 Auto Abs Airbag,Toyota,61000,9647,12/2/09,75,266900
motorist.sg,Honda Fit 1.3G A,Honda,19800,15542,16/12/08,15,152000
motorist.sg,Mercedes Benz C200 Amg MHybrid Line Coupe,Mercedes,189800,22211,12/12/19,87,25500
motorist.sg,Volkswagen Beetle Cabriolet 1.2 Dsg,Volkswagen,119500,16965,19/12/18,75,40000
motorist.sg,Kia Cerato Forte Koup 1.6 At Sx Abs D/Ab Sr,Kia,78800,9565,15/12/10,98,106000
motorist.sg,Honda Fit 1.3G Skyroof A,Honda,57800,10162,14/5/08,68,191000
motorist.sg,Jaguar Xj6 3.2 Lwb,Jaguar,48888,13705,30/5/96,42,180000
motorist.sg,Porsche Cayman 2.9 A,Porsche,135000,20294,27/10/09,79,130000
motorist.sg,Toyota Camry 2.0 Auto,Toyota,105800,14491,12/10/18,73,21500
motorist.sg,Mercedes Benz C180 Sedan Avg (R17 Led),Mercedes,186800,19059,18/5/21,104,21000
motorist.sg,Honda Mobilio Sv 1.5 Cvt,Honda,62800,13957,28/6/16,45,137900
motorist.sg,Toyota CHr Hybrid 1.8G Cvt,Toyota,81800,15196,21/11/17,62,50500
motorist.sg,Mercedes Benz B200 Progressive (R18 Led),Mercedes,146800,18527,18/7/19,82,56000
motorist.sg,Toyota Harrier Elegance 2.0 Cvt,Toyota,95800,16966,25/5/17,56,56580
motorist.sg,Mazda 3 Sedan 1.5 At Eu6,Mazda,63000,12636,17/4/17,55,73000
motorist.sg,Mercedes Benz Gla180 Urban (R18 Led),Mercedes,144800,17184,17/3/20,90,28083
motorist.sg,Mercedes Benz S350 L Se Line Exec BTec Auto,Mercedes,157800,36916,23/2/15,29,113800
motorist.sg,Mercedes Benz E200 Cgi A,Mercedes,106800,12224,17/6/11,104,
motorist.sg,Mercedes Benz Amg A45 4Matic (R19 Led),Mercedes,190800,33278,23/6/17,57,81800
motorist.sg,Mercedes Benz A250 Premium Plus Amg Line 4Matic,Mercedes,173800,21188,30/3/19,98,56800
motorist.sg,Bmw 318I Adpt Led Hl,Bmw,200888,18866,28/12/21,111,15800
motorist.sg,Lexus Es250 Executive A/T S/R,Lexus,135800,19378,2/8/18,70,59800
motorist.sg,Volkswagen Tiguan 2.0T Auto 5N12T3 4Wd,Volkswagen,87800,11536,16/4/10,91,139800
motorist.sg,Audi Rs5 4.2 Fsi Quattro,Audi,146000,16977,12/4/11,103,131800
motorist.sg,Nissan Nv350 Panel Van 2.5 5Mt 5Dr,Nissan,65800,9174,7/11/19,86,
motorist.sg,Mini Cooper S,Mini,42800,11215,12/7/06,45,162800
motorist.sg,Bmw 335I Coupe Smt Hid Abs D/Ab 2Wd 2Dr Sr,Bmw,119800,14996,18/10/10,95,
motorist.sg,Nissan Sylphy 1.6 Cvt Abs D/Airbag 2Wd 4Dr,Nissan,52800,13459,29/12/15,39,61809
motorist.sg,Golden Dragon Xml5036Xxyevl06,Golden,108800,11190,26/5/22,116,
motorist.sg,Mazda 3 4Door Sedan 1.5L Sp.6Eat,Mazda,50800,13888,16/11/15,38,123000
motorist.sg,Fiat Doblo Cargo Maxi 1.6 Mtj Amt Glaze,Fiat,30800,9125,21/1/16,40,
motorist.sg,Citroen Berlingo 1.6L Ehdi Etg6,Citroen,20800,9898,13/10/14,25,
motorist.sg,Toyota Hiace Dx 3.0L Manual,Toyota,61800,11675,22/12/17,63,
motorist.sg,Toyota Dyna 150 5Mt,Toyota,72800,11716,22/11/18,74,
motorist.sg,Toyota Hiace Hiroof Auto 14 Seater,Toyota,48800,10496,27/6/12,55,
motorist.sg,Volkswagen Golf R 2.0L 5Dr 5K1Rx7,Volkswagen,126800,15234,28/1/11,99,
motorist.sg,Nissan GtR 3.8 A,Nissan,288800,56040,23/7/08,61,
motorist.sg,Mercedes Benz Cla 200 (R18 Bi),Mercedes,122800,12828,9/9/13,114,
motorist.sg,Lexus Is200T F Sport,Lexus,116800,25923,5/2/16,40,
motorist.sg,Honda Civic 1.6 Vti Cvt,Honda,76800,15763,29/11/16,50,
motorist.sg,Bmw 316I 1.6 At D/Ab 4Dr Abs Hid,Bmw,110800,11476,30/4/13,115,
motorist.sg,Audi Rs3 Sportback 2.5 Tfsi Quattro,Audi,160800,17406,17/7/12,110,
motorist.sg,Mitsubishi Evo10 Gsr 2.0 M,Mitsubishi,153800,26013,4/8/08,70,159000
motorist.sg,Mercedes Benz E300 Coupe (R19 Led Sr),Mercedes,218800,26890,17/10/18,73,21000
motorist.sg,Mercedes Benz A200 Blue Efficiency,Mercedes,39800,22206,12/2/14,17,132000
motorist.sg,Volvo S60 T4 M,Volvo,149800,17417,24/2/20,89,39000
motorist.sg,Mercedes Benz B180 Style (R16 Led),Mercedes,95800,16047,29/1/18,64,82000
motorist.sg,Honda Freed Hybrid 1.5G Auto,Honda,105800,14051,25/6/19,81,23000
motorist.sg,Nissan Nv200 1.5 Mt,Nissan,62800,8993,30/8/19,83,
motorist.sg,Hyundai Fd I30 Cw 1.6 A,Hyundai,24800,10687,2/1/10,27,120000
motorist.sg,Nissan Nv350 Panel Van 2.5 5Mt 5Dr,Nissan,52800,9274,16/5/18,68,
motorist.sg,Toyota Hiace Dx 2.8 Auto,Toyota,91800,10715,31/3/21,102,
motorist.sg,Toyota Corolla Altis 1.6 Auto,Toyota,35800,8981,15/11/06,47,262000
